query,cluster,type,n_chars,n_tokens,mean_tok_len,frac_latin,frac_digit,frac_vowel,max_char_run,dict_coverage,mean_edit_dist,oddness
рикотта light,4,норма · удвоенная буква,13,2,6.0,0.4166666666666667,0.0,0.42857142857142855,2,1.0,0.0,5.815395666928842
knorr для цезаря,4,норма · удвоенная буква,16,3,4.666666666666667,0.35714285714285715,0.0,0.4444444444444444,2,1.0,0.0,5.982452345722737
айсьерб,2,искажённое слово,7,1,7.0,0.0,0.0,0.2857142857142857,1,0.0,0.2857142857142857,7.354610685882339
вилки пластиковые,5,норма · длинные слова,17,2,8.0,0.0,0.0,0.4375,1,1.0,0.0,5.560385867472509
fiedle,0,латиница,6,1,6.0,1.0,0.0,0.0,1,1.0,0.0,16.123358179532573
путинг,2,искажённое слово,6,1,6.0,0.0,0.0,0.3333333333333333,1,0.0,0.16666666666666666,6.318835995287754
гадированя,2,искажённое слово,10,1,10.0,0.0,0.0,0.5,1,0.0,0.25,5.558786886716217
бепантенол,2,искажённое слово,10,1,10.0,0.0,0.0,0.4,1,0.0,0.2,5.799583521607462
творожки детские,5,норма · длинные слова,16,2,7.5,0.0,0.0,0.4,1,1.0,0.0,5.573649376864314
тартилия,2,искажённое слово,8,1,8.0,0.0,0.0,0.5,1,0.0,0.25,5.5491219607483915
